RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;VVD;PVV (Partij voor de Vrijheid);CDA;Democraten 66 (D66);GROENLINKS;SP (Socialistische Partij);Partij van de Arbeid (P.v.d.A.);ChristenUnie;Partij voor de Dieren;50PLUS;Staatkundig Gereformeerde Partij (SGP);DENK;Forum voor Democratie;VNL (VoorNederland);Piratenpartij;Artikel 1;NIEUWE WEGEN;OndernemersPartij;Lokaal in de Kamer;Niet Stemmers;De Burger Beweging;GeenPeil;JEZUS LEEFT;Vrijzinnige Partij;Libertarische Partij (LP);MenS en Spirit / Basisinkomen Partij / V-R;StemNL;Vrije Democratische Partij (VDP)	
Haarlem;G0392;10357;Haarlem;K10;116935;96727;342;191;96194;18447;8998;5853;17293;15172;6753;7512;1682;5476;2658;215;3076;1637;232;468;192;143;105;49;91;38;69;;35;;;;	
Haarlemmerliede en Spaarnwoude;G0393;10508;Haarlem;K10;4386;3754;9;2;3743;1126;452;421;474;346;215;214;44;145;119;8;19;88;25;18;4;0;12;4;3;3;2;;1;;;;	
Haarlemmermeer;G0394;11387;Haarlem;K10;106838;89321;320;108;88893;26485;12096;9182;10903;6579;5128;4462;2223;2808;3305;656;1381;2070;470;328;272;148;115;82;81;45;51;;23;;;;	
Halderberge;G1655;10397;Tilburg;K17;23211;18289;53;21;18215;4742;3630;2496;1497;1006;2222;630;146;376;715;33;233;286;55;44;4;24;28;14;6;1;8;5;9;4;;1;	
Hardenberg;G0160;10174;Zwolle;K4;45940;38849;76;36;38737;6705;4347;9959;2661;1551;3351;1710;4936;522;1168;764;30;640;134;74;9;34;56;30;15;16;15;;10;;;;	
Harderwijk;G0243;10786;Arnhem;K7;34738;29139;113;26;29000;6649;3172;4908;2485;1882;1635;1210;2854;709;752;790;1147;454;85;76;11;45;41;14;21;18;10;22;1;3;6;0;	
Hardinxveld-Giessendam;G0523;10167;Dordrecht;K14;13421;11648;18;8;11622;1832;1319;1741;443;292;616;417;1930;147;230;2360;20;161;21;24;1;13;12;4;5;0;6;25;2;0;;1;	
Haren;G0017;11058;Groningen;K1;14954;13348;21;14;13313;2946;656;1526;2301;1863;854;1165;766;564;241;75;8;196;26;34;7;20;14;17;6;2;15;;8;3;;;	
Harlingen;G0072;10909;Leeuwarden;K2;12343;9913;48;13;9852;1841;1334;1360;864;771;1233;846;367;347;435;48;15;240;47;31;;43;16;7;;1;5;;1;0;;;	
Hattem;G0244;10673;Arnhem;K7;9316;8155;12;3;8140;1512;658;1526;827;452;584;563;1342;132;169;180;21;92;25;12;2;4;4;2;1;1;2;26;0;0;3;0;	
Heemskerk;G0396;10679;Haarlem;K10;30434;25080;89;36;24955;6013;3436;2663;3048;2300;2372;1524;358;808;1011;51;378;600;133;88;40;31;24;23;16;7;23;;8;;;;	
Heemstede;G0397;11288;Haarlem;K10;20353;17997;34;23;17940;6481;1064;1812;3345;1634;679;1018;289;689;394;46;38;304;44;35;15;8;10;9;12;4;6;;4;;;;	
Heerde;G0246;10291;Arnhem;K7;14681;12347;22;9;12316;2233;1528;2620;902;509;928;697;1599;223;333;468;22;153;32;26;0;10;6;5;5;1;2;11;1;0;1;1;	
Heerenveen;G0074;10680;Leeuwarden;K2;38983;31913;75;48;31790;6259;3120;4318;3757;2996;3781;3378;1106;869;898;125;238;522;107;101;;86;57;31;;25;13;;3;0;;;	
Heerhugowaard;G0398;10752;Den Helder;K11;40555;32943;154;49;32740;8572;3992;3563;4047;2766;3061;1949;658;1059;1135;69;504;688;163;120;36;60;72;121;27;22;41;;8;;;;7	
Heerlen;G0917;10902;Maastricht;K19;69327;50450;215;102;50133;6541;11773;4822;4271;3594;10213;2044;390;1881;2251;83;678;932;162;168;37;93;62;;33;40;30;;19;16;;;	
Heeze-Leende;G1658;10462;'s-Hertogenbosch;K18;12453;10471;23;17;10431;3053;1172;1829;1321;625;1095;420;91;234;293;17;11;146;34;31;2;18;14;13;9;1;2;;0;0;;0;	
Heiloo;G0399;10793;Den Helder;K11;18041;15936;33;16;15887;4832;1166;1771;2553;1589;881;1197;238;689;382;53;17;301;70;56;7;19;20;7;11;12;11;;4;;;;1	
Hellendoorn;G0163;10806;Zwolle;K4;27996;24032;31;15;23986;4622;2498;7287;2113;1292;2239;1063;1168;375;598;192;37;301;51;36;4;25;25;25;12;15;5;;3;;;;	
Hellevoetsluis;G0530;11078;Dordrecht;K14;30341;24001;64;42;23895;5675;5205;2118;2025;1360;2074;1313;439;792;1227;100;331;739;218;72;25;56;40;21;22;16;5;13;6;2;;1;	
Helmond;G0794;10932;'s-Hertogenbosch;K18;65490;50067;219;110;49738;10493;10260;5272;4777;3532;7067;1898;388;1188;1805;51;1501;820;201;148;41;71;51;50;38;29;22;;12;4;;19;	
Hendrik-Ido-Ambacht;G0531;10416;Dordrecht;K14;22135;18904;36;22;18846;4414;2536;2333;1546;852;1127;763;1179;383;529;2441;167;373;73;32;15;19;19;13;6;5;3;14;3;1;;0;	
Hengelo;G0164;10907;Zwolle;K4;62163;51197;156;74;50967;9521;6180;8438;6532;4113;6599;3182;1240;1328;1181;143;1015;873;186;173;27;66;50;28;32;23;16;;21;;;;	
Het Bildt;G0063;10128;Leeuwarden;K2;7932;6406;7;11;6388;1092;731;1386;497;457;822;505;229;217;211;29;0;137;14;22;;11;15;6;;3;1;;1;2;;;	
Heumen;G0252;10600;Nijmegen;K6;12885;11162;10;10;11142;2708;1064;1659;1721;1153;1224;667;128;326;252;9;15;125;16;35;0;5;8;6;3;10;2;3;3;0;;0;	
Heusden;G0797;10307;'s-Hertogenbosch;K18;33544;27846;62;30;27754;7289;4415;4010;2980;1642;3121;1105;300;652;933;63;414;457;112;66;9;42;44;46;15;7;12;;15;3;;2;	
Hillegom;G0534;11236;Leiden;K15;16132;13504;37;14;13453;3870;1820;1641;1593;980;876;687;233;443;565;75;86;390;64;42;7;19;28;;5;11;4;3;7;3;;1;	
Hilvarenbeek;G0798;11297;Tilburg;K17;12062;10280;16;16;10248;2858;944;2093;1226;673;1200;434;75;226;299;9;4;112;25;20;1;7;11;15;4;2;1;3;5;1;;0;	
Hilversum;G0402;11285;Haarlem;K10;65195;53510;171;62;53277;12464;5470;4345;9036;6073;3704;3314;1441;2304;1800;351;1169;944;232;314;50;59;67;24;31;24;39;;22;;;;	
Hof van Twente;G1735;10076;Zwolle;K4;27631;23835;47;25;23763;6210;2466;5851;2560;1200;1956;1458;318;354;590;108;126;346;83;54;4;19;20;15;9;6;7;;3;;;;	
Hollands Kroon;G1911;10344;Den Helder;K11;36460;30126;58;26;30042;8618;4375;3887;2936;1867;2455;1650;576;820;1233;174;15;859;218;89;3;61;62;80;15;15;19;;8;;;;7	
Hoogeveen;G0118;10839;Assen;K3;42582;34377;70;50;34257;5385;5307;6958;2394;1812;4292;1993;2423;582;1194;693;147;720;135;70;;45;49;31;;14;6;;6;1;;;	
Hoogezand-Sappemeer;G0018;10410;Groningen;K1;26880;20363;48;22;20293;2832;3050;1788;1713;1808;3753;1907;820;576;900;73;497;300;66;65;13;26;27;36;15;11;9;;5;3;;;	
Hoorn;G0405;11392;Den Helder;K11;54585;43772;143;61;43568;10073;5432;3827;5592;4659;4212;3166;695;1728;1571;109;692;955;193;193;154;75;74;39;55;24;19;;24;;;;7	
Horst aan de Maas;G1507;11108;Maastricht;K19;32269;26557;38;49;26470;5720;3433;5886;2918;1444;3652;920;150;510;1049;24;30;426;99;67;2;33;50;;13;28;5;;6;5;;;	
Houten;G0321;10230;Utrecht;K8;36289;31677;53;32;31592;7958;3147;3810;4622;3129;1827;1734;1968;863;831;728;155;448;104;94;47;29;40;;9;6;15;11;7;4;5;1;	
Huizen;G0406;11170;Haarlem;K10;32127;27112;60;20;27032;7431;2803;3483;3260;1973;1457;1358;1528;926;854;603;437;584;101;67;28;53;27;9;18;11;13;;8;;;;	
Hulst;G0677;11408;Middelburg;K16;20025;15719;39;130;15550;3540;2804;2381;1289;882;1903;855;130;422;833;56;19;241;71;30;3;30;20;17;;6;6;;4;2;;6;	
IJsselstein;G0353;10152;Utrecht;K8;25671;21399;48;23;21328;5783;2804;2634;2996;1630;1447;1036;517;551;693;212;399;368;87;44;35;19;25;;8;8;6;15;4;3;4;0;	
Kaag en Braassem;G1884;10349;Leiden;K15;20408;17744;36;17;17691;5631;2335;2722;2171;1090;930;712;271;455;590;100;24;433;94;43;5;26;30;;9;5;4;5;3;2;;1;	
Kampen;G0166;10253;Zwolle;K4;38909;33715;70;39;33606;4543;3769;6505;2084;1934;2626;1373;4683;534;795;3630;378;475;82;83;13;31;15;13;17;9;6;;8;;;;	
Kapelle;G0678;11223;Middelburg;K16;9497;8349;16;6;8327;1812;837;1294;688;395;606;368;580;190;247;1087;5;139;36;16;1;5;12;2;;2;2;;3;0;;0;	
Katwijk;G0537;10707;Leiden;K15;48012;40943;112;31;40800;8212;5907;8263;2338;1528;1803;1181;3927;843;1146;3911;178;1079;172;105;17;45;38;;11;9;12;57;3;10;;5;	
Kerkrade;G0928;10313;Maastricht;K19;34977;25463;90;70;25303;3243;7324;2775;1617;1350;4900;1059;107;816;1217;22;145;460;66;59;6;33;27;;21;26;18;;7;5;;;	
Koggenland;G1598;10354;Den Helder;K11;17247;14815;31;16;14768;4982;1630;2233;1583;931;974;717;132;418;535;50;9;312;112;41;8;18;31;20;13;10;3;;5;;;;1	
Kollumerland en Nieuwkruisland;G0079;10984;Leeuwarden;K2;9979;8005;11;10;7984;1131;1089;2251;472;413;835;394;606;149;241;149;0;158;23;13;;18;13;11;;10;1;;2;5;;;	
Korendijk;G0588;10914;Dordrecht;K14;8512;7378;15;7;7356;1546;1042;922;491;327;431;284;315;180;251;1315;3;158;32;12;2;7;10;3;9;1;2;7;6;0;;0;	
Krimpen aan den IJssel;G0542;10859;Leiden;K15;22416;19046;39;21;18986;3616;2789;2009;1619;995;1216;1040;1259;470;579;2690;84;387;75;46;33;9;22;;7;5;16;12;3;5;;0;	
Krimpenerwaard;G1931;10050;Leiden;K15;42640;36865;97;39;36729;8934;4630;4830;3124;2018;2191;1883;2226;1034;1019;3433;276;708;157;77;9;55;32;;18;8;28;26;3;5;;5;	
Laarbeek;G1659;10173;'s-Hertogenbosch;K18;17180;13999;38;33;13928;3524;2189;2400;1383;707;2149;500;62;271;375;17;4;193;50;32;2;11;21;15;5;4;3;;5;4;;2;	
Landerd;G1685;10276;'s-Hertogenbosch;K18;11964;10167;16;18;10133;2598;1301;1916;1051;479;1659;360;63;169;298;10;2;131;28;25;3;10;11;2;6;7;1;;1;0;;2;	
Landgraaf;G0882;11335;Maastricht;K19;30100;23373;52;61;23260;3429;6130;2730;1880;1339;3884;1011;153;733;1200;23;66;425;69;51;5;48;31;;19;11;11;;7;5;;;	
Landsmeer;G0415;11225;Den Helder;K11;8712;7483;21;5;7457;1958;1005;546;1026;728;633;577;66;308;249;23;41;188;26;20;13;9;26;5;7;3;0;;0;;;;0	
Langedijk;G0416;10955;Den Helder;K11;21212;18185;40;21;18124;5163;2025;2141;2261;1559;1270;999;523;630;604;88;77;429;140;58;9;30;33;35;18;20;6;;5;;;;1	
Lansingerland;G1621;10139;Leiden;K15;43307;37633;65;47;37521;12033;4877;5027;4326;2060;1585;1473;2065;962;944;431;385;850;178;123;48;48;51;;13;12;8;17;2;2;;1;	
Laren;G0417;10649;Haarlem;K10;8563;7463;29;3;7431;3503;565;747;922;393;282;284;78;243;151;9;16;166;19;25;4;10;6;1;2;1;1;;3;;;;	
Leek;G0022;10604;Groningen;K1;15297;12565;27;10;12528;2145;1372;1969;1234;1090;1478;994;1045;297;391;143;21;201;30;36;3;14;18;15;11;6;4;;8;3;;;	
Leerdam;G0545;10685;Dordrecht;K14;15750;12896;41;9;12846;2460;1857;1666;896;684;903;550;879;279;344;1124;862;198;39;19;2;35;6;5;11;4;7;12;2;1;;1;	
Leeuwarden;G0080;11228;Leeuwarden;K2;84942;68694;148;110;68436;10422;7221;7294;9023;8809;8194;6964;2391;3041;1913;241;334;1487;248;354;;176;103;62;;57;45;;35;22;;;	
Leeuwarderadeel;G0081;10851;Leeuwarden;K2;8015;6828;11;8;6809;1161;650;1317;673;518;784;744;323;201;204;29;6;117;19;23;;13;9;9;;2;4;;0;3;;;	
Leiden;G0546;10702;Leiden;K15;92569;78161;255;173;77733;13071;8172;4818;16305;13179;5152;5387;1916;3692;1603;268;1631;1378;192;436;175;105;44;;49;32;46;37;19;19;;7;	
Leiderdorp;G0547;10058;Leiden;K15;20678;17794;51;20;17723;4493;1958;2001;2887;1581;1089;1219;415;531;526;183;239;388;64;57;15;24;19;;15;3;6;5;2;2;;1;	
Leidschendam-Voorburg;G1916;11103;Leiden;K15;55874;46677;159;77;46441;12831;5710;5351;7001;3744;2480;2755;958;1772;1443;210;501;977;195;141;97;64;63;;34;20;32;25;23;10;;4;	
Lelystad;G0995;11110;Lelystad;K5;56394;43737;158;97;43482;8493;7671;3825;4147;3796;4143;2564;1590;1670;1975;333;1308;921;230;216;227;90;64;49;45;24;31;45;14;11;;;	
Leudal;G1640;10840;Maastricht;K19;28439;22808;43;31;22734;4646;3715;4045;3770;966;2474;633;129;513;990;46;19;511;99;30;4;38;47;;20;11;14;;6;8;;;	
Leusden;G0327;10978;Utrecht;K8;22952;20237;47;24;20166;5464;1501;2968;2896;1770;1167;1037;1186;596;490;376;73;395;63;62;12;21;25;;13;12;11;6;6;5;11;0;	
Lingewaal;G0733;11376;Nijmegen;K6;8603;7347;18;8;7321;1659;1204;1241;543;341;412;416;539;155;185;400;24;128;23;14;3;11;2;1;1;4;2;11;1;1;;0;	
Lingewaard;G1705;10744;Arnhem;K7;35897;30367;46;75;30246;8125;3774;4261;4035;2245;3353;1496;289;727;1078;37;50;485;84;61;6;22;38;20;10;13;10;9;7;3;6;2;	
Lisse;G0553;10197;Leiden;K15;17554;15246;44;15;15187;4332;1740;2167;1809;902;832;600;475;448;587;720;24;360;80;42;6;17;15;;7;4;8;2;2;0;;8;	
Littenseradiel;G0140;10422;Leeuwarden;K2;8224;7142;7;5;7130;1422;502;1795;688;638;636;628;225;209;173;40;2;77;27;16;;22;14;8;;3;2;;1;2;;;	
Lochem;G0262;11263;Arnhem;K7;26754;23194;31;31;23132;6413;1551;3651;3464;2160;1763;1644;404;656;627;69;201;302;63;43;7;23;26;11;20;9;5;1;6;1;12;0;	
Loon op Zand;G0809;11259;Tilburg;K17;18110;14643;32;22;14589;3923;2480;2094;1369;938;1646;562;131;326;567;77;84;207;60;22;7;22;24;24;9;4;3;5;3;0;;2;	
Lopik;G0331;10333;Utrecht;K8;10810;9244;26;11;9207;2199;1438;1761;566;339;438;268;724;170;250;727;69;139;45;17;3;10;11;;6;7;2;9;2;0;5;2;	
Loppersum;G0024;10934;Groningen;K1;7825;6592;6;8;6578;693;551;1303;534;723;946;519;625;232;186;120;2;58;21;27;1;7;9;11;6;3;0;;0;1;;;	
Losser;G0168;11166;Zwolle;K4;17731;14421;25;11;14385;2900;2338;3696;1497;668;1436;583;136;213;508;15;44;228;38;29;2;9;17;16;6;3;3;;0;;;;	
Maasdriel;G0263;10341;Nijmegen;K6;18328;15490;28;25;15437;3947;3197;2852;1148;668;1346;509;199;290;498;295;40;293;52;40;1;13;18;6;7;1;5;4;6;1;;1;	
Maasgouw;G1641;10964;Maastricht;K19;19528;15047;26;31;14990;3083;2908;2462;1551;782;1831;503;94;432;775;21;11;342;63;42;4;26;24;;10;13;5;;5;3;;;	
Maassluis;G0556;10880;Dordrecht;K14;24741;20336;64;48;20224;4519;3388;2668;1875;1173;1381;1086;754;557;786;171;1176;381;101;66;38;30;24;9;9;5;11;6;5;1;;4;	
Maastricht;G0935;10182;Maastricht;K19;89222;68640;246;125;68269;10738;12477;7169;10145;7441;7693;3618;563;2593;2800;79;672;1575;130;193;65;76;66;;54;35;35;;29;23;;;	
Marum;G0025;11431;Groningen;K1;8130;6659;9;3;6647;1264;945;1189;538;429;767;464;394;156;217;73;1;114;24;18;3;10;14;9;7;3;2;;2;4;;;	
Medemblik;G0420;11215;Den Helder;K11;33335;27717;63;43;27611;7842;3561;3983;3058;1707;2027;1344;702;818;1066;239;159;639;174;99;10;41;52;43;19;12;8;;6;;;;2	
Meerssen;G0938;10494;Maastricht;K19;15461;12768;21;25;12722;2525;2273;2083;1534;909;1436;525;71;347;613;14;8;262;29;29;3;20;19;;3;10;5;;3;1;;;	
Meierijstad;G1948;10985;'s-Hertogenbosch;K18;61103;49691;119;69;49503;12714;6428;8712;5240;2962;6689;1904;246;944;1568;48;817;680;173;117;8;53;90;31;24;14;14;;8;7;;12;	
Menameradiel;G1908;11144;Leeuwarden;K2;10411;8866;17;3;8846;1618;849;1737;924;760;972;885;333;215;250;48;3;136;30;21;;34;13;9;;2;2;;2;3;;;	
Menterwolde;G1987;11282;Groningen;K1;9760;7766;22;17;7727;1041;1376;721;632;559;1581;689;272;228;356;31;9;129;21;25;4;7;14;18;4;7;1;;1;1;;;	
Meppel;G0119;11204;Assen;K3;25543;21542;43;22;21477;4590;2159;2893;2486;1928;2396;1614;1242;586;682;108;168;360;74;56;;46;35;14;;23;9;;1;7;;;	
Middelburg;G0687;10122;Middelburg;K16;36820;30381;72;45;30264;5022;2813;3405;3128;3072;3004;2160;2031;1217;818;2449;375;461;84;86;20;39;27;19;;14;9;;3;7;;1;	
Midden-Delfland;G1842;10130;Dordrecht;K14;14541;13041;34;12;12995;4149;1234;2431;1662;841;484;536;514;293;284;77;44;297;54;36;7;13;13;5;3;6;5;5;2;0;;0;	
Midden-Drenthe;G1731;10520;Assen;K3;26254;22268;37;22;22209;4555;2466;3871;2194;1574;2422;2007;902;523;807;215;9;411;82;43;;20;40;26;;19;12;;10;1;;;	
Mill en Sint Hubert;G0815;10535;'s-Hertogenbosch;K18;8632;7322;14;4;7304;1685;986;1479;561;326;1444;234;46;114;239;12;6;84;17;19;0;15;14;5;7;7;3;;0;0;;1;	
Moerdijk;G1709;10046;Tilburg;K17;28759;23065;31;29;23005;5832;4079;3276;1892;1253;2684;933;587;598;891;141;111;399;132;51;9;48;34;21;5;4;8;12;3;2;;0;	
Molenwaard;G1927;10451;Dordrecht;K14;21488;18982;30;10;18942;3045;1857;3261;806;553;904;646;2648;265;347;4165;18;261;59;21;2;17;10;6;2;7;3;38;1;0;;0;	
Montferland;G1955;10350;Arnhem;K7;28253;23264;45;17;23202;5486;4015;4284;2148;1237;2744;997;150;486;875;39;105;361;74;61;9;22;30;19;13;5;13;7;6;3;11;2;	
Montfoort;G0335;10033;Utrecht;K8;10434;9259;16;10;9233;2643;1086;1504;922;528;416;356;501;174;216;521;80;179;31;22;3;10;14;;5;1;5;7;3;0;6;0;	
Mook en Middelaar;G0944;10271;Maastricht;K19;6220;5436;18;4;5414;1324;547;642;879;580;602;328;57;217;112;4;3;64;17;9;1;10;8;;4;3;0;;2;1;;;	
Neder-Betuwe;G1740;10916;Nijmegen;K6;17000;14568;31;18;14519;2144;2033;1582;673;404;759;689;677;183;384;4618;53;188;41;20;1;12;22;3;4;7;3;17;2;0;;0;	
Nederweert;G0946;10681;Maastricht;K19;13534;10853;14;16;10823;2494;1844;2317;1023;501;1205;355;46;203;498;14;2;185;46;33;0;23;15;;5;5;7;;0;2;;;	
Neerijnen;G0304;10125;Nijmegen;K6;9181;7815;14;8;7793;1775;1349;1134;562;326;456;373;274;163;218;944;12;125;25;18;3;10;13;3;5;1;2;2;0;0;;0;	
Nieuwegein;G0356;10374;Utrecht;K8;47736;38044;147;60;37837;8169;6093;3965;4540;3201;3668;2273;1000;1148;1527;233;684;668;166;156;133;57;35;;24;17;21;29;9;3;14;4;	
Nieuwkoop;G0569;10728;Leiden;K15;21678;18228;40;14;18174;5572;2486;3186;1746;1019;932;680;501;383;562;368;42;416;101;61;5;25;41;;9;9;7;13;3;6;;1;	
Nijkerk;G0267;10446;Arnhem;K7;31153;26741;47;24;26670;6043;3363;4877;2083;1269;1244;966;2835;464;668;1862;334;392;78;55;9;33;23;12;10;10;3;17;10;4;4;2;	
Nijmegen;G0268;11209;Nijmegen;K6;141350;111701;298;146;111257;15952;10613;7384;21666;22391;12451;7004;1432;5219;2018;152;2152;1377;203;468;192;111;80;58;82;97;45;45;38;19;;8;	
Nissewaard;G1930;10735;Dordrecht;K14;67106;52447;221;86;52140;10560;12359;4789;4101;3093;5464;2879;1145;1555;2904;362;432;1360;340;183;182;92;69;67;57;32;33;52;14;5;;11;	
Noord-Beveland;G1695;10250;Middelburg;K16;5878;4794;11;11;4772;1172;711;698;332;253;410;296;141;180;175;217;3;105;30;13;1;8;15;4;;3;2;;2;0;;1;	
Noordenveld;G1699;10699;Assen;K3;24875;21044;38;14;20992;4441;2270;2597;2622;2082;2062;2180;851;617;643;98;1;313;48;41;;32;34;37;;11;5;;5;2;;;	
Noordoostpolder;G0171;10144;Lelystad;K5;33516;28260;56;33;28171;6283;3238;5647;2184;1346;2357;1280;2261;523;713;1221;203;494;108;66;15;39;38;26;20;27;19;52;8;3;;;	
Noordwijk;G0575;10769;Leiden;K15;19801;16691;40;35;16616;5578;2102;1906;1909;1174;943;764;276;520;592;79;70;499;82;43;4;25;23;;6;4;8;3;4;1;;1;	
Noordwijkerhout;G0576;11134;Leiden;K15;12271;10489;33;11;10445;3487;1390;1443;1126;669;593;387;120;289;438;15;14;339;58;26;4;12;13;;5;6;6;2;1;0;;2;	
Nuenen	 Gerwen en Nederwetten;G0820;10761;'s-Hertogenbosch;K18;18109;15723;14;24;15685;4432;1508;2269;2297;1240;1591;863;167;402;434;14;20;265;53;33;4;17;12;30;9;9;8;;4;2;;2;
Nunspeet;G0302;10512;Arnhem;K7;20798;17841;22;17;17802;2836;1810;2925;791;509;692;387;2420;276;340;4396;37;209;66;33;1;9;12;6;4;4;3;29;0;0;6;1;	
Nuth;G0951;10104;Maastricht;K19;12529;10282;28;34;10220;1976;1874;1836;958;646;1301;411;41;310;511;14;5;231;34;21;3;8;10;;11;3;4;;7;5;;;	
Oegstgeest;G0579;10287;Leiden;K15;17047;15207;18;19;15170;4531;1056;1560;3034;1547;607;1024;465;512;311;65;54;257;46;49;13;14;3;;6;3;7;3;1;2;;0;	
Oirschot;G0823;10225;'s-Hertogenbosch;K18;14628;12275;31;27;12217;3425;1523;2383;1282;617;1486;456;75;218;389;28;4;207;41;24;0;9;21;13;3;5;2;;1;4;;1;	
Oisterwijk;G0824;10103;Tilburg;K17;20268;16846;51;29;16766;5167;1868;2438;2094;1293;1731;639;128;387;543;21;58;236;50;35;8;7;19;17;12;5;0;3;2;4;;1;	
Oldambt;G1895;10453;Groningen;K1;30703;24053;50;47;23956;3260;4525;2412;1837;1715;4682;2211;849;666;952;113;12;440;75;75;4;29;30;21;15;9;9;;9;6;;;	
Oldebroek;G0269;11106;Arnhem;K7;17694;14833;34;9;14790;1831;1775;2863;644;392;777;485;3018;164;322;2203;5;174;37;13;1;8;9;11;7;2;5;39;3;0;2;0;	
Oldenzaal;G0173;11100;Zwolle;K4;24738;20801;55;33;20713;4777;2525;4277;2680;1350;2186;980;165;351;529;28;335;333;74;52;4;20;14;10;6;5;11;;1;;;;	
Olst-Wijhe;G1773;10409;Zwolle;K4;14073;11877;22;15;11840;2539;1113;2421;1376;937;1089;990;267;321;403;70;58;115;48;27;4;17;15;8;7;4;8;;3;;;;	
Ommen;G0175;11069;Zwolle;K4;13477;11691;22;9;11660;2082;936;3739;1006;488;726;475;1289;169;275;209;3;161;35;23;3;9;9;5;2;6;6;;4;;;;	
Onderbanken;G0881;10492;Maastricht;K19;6314;5119;15;10;5094;785;1265;733;418;319;796;152;27;156;245;9;8;103;26;9;1;21;8;;5;4;2;;1;1;;;	
Oost Gelre;G1586;11094;Arnhem;K7;23244;19708;32;26;19650;4853;1768;4780;2316;1119;2115;920;114;296;749;39;73;261;78;29;3;32;40;23;2;5;12;4;4;1;14;0;	
Oosterhout;G0826;11280;Tilburg;K17;42440;33823;107;103;33613;8581;5511;3952;3836;2428;3584;1484;313;778;1168;36;980;554;130;72;22;37;42;34;18;20;4;12;6;9;;2;	
Ooststellingwerf;G0085;10836;Leeuwarden;K2;20382;16447;30;16;16401;2798;2196;2746;1488;1300;1950;1418;669;549;559;136;8;356;57;41;;34;39;21;;17;3;;12;4;;;	
Oostzaan;G0431;11303;Den Helder;K11;7529;6452;17;14;6421;1802;1114;423;666;495;432;496;107;260;284;27;30;158;48;27;12;10;14;2;5;5;2;;1;;;;1	
Opmeer;G0432;10609;Den Helder;K11;8870;7364;13;10;7341;2286;815;1129;943;482;461;358;66;177;287;17;2;171;63;27;2;12;15;7;6;10;2;;2;;;;1	
Opsterland;G0086;10005;Leeuwarden;K2;23192;19136;31;37;19068;3271;1793;3195;1886;1610;2281;1856;1397;485;501;267;9;254;75;43;;50;32;18;;20;20;;3;2;;;	
Oss;G0828;10834;'s-Hertogenbosch;K18;69501;55836;139;109;55588;11543;9159;7943;5413;3447;9615;2212;320;1122;1756;42;1521;850;201;157;27;60;75;47;25;18;15;;10;6;;4;	
Oud-Beijerland;G0584;11301;Dordrecht;K14;18538;15908;27;22;15859;3766;2248;1846;1548;897;1010;820;825;426;461;1418;17;379;59;45;6;32;12;9;15;10;2;1;4;1;;2;	
Oude IJsselstreek;G1509;10260;Arnhem;K7;31153;25558;51;22;25485;5606;3043;4707;2755;1538;3394;1360;373;502;885;63;620;288;80;48;6;22;96;27;18;10;6;8;9;6;11;4;	
Ouder-Amstel;G0437;10998;Haarlem;K10;9917;8516;23;10;8483;2305;732;833;1431;878;407;671;156;327;288;85;51;155;27;30;56;8;12;3;11;0;10;;7;;;;	
Oudewater;G0589;10188;Utrecht;K8;7802;6706;10;5;6691;2004;760;1243;648;357;287;223;358;142;163;297;18;117;36;11;2;5;7;;1;3;1;4;1;0;2;1;	
