RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;VVD;PVV (Partij voor de Vrijheid);CDA;Democraten 66 (D66);GROENLINKS;SP (Socialistische Partij);Partij van de Arbeid (P.v.d.A.);ChristenUnie;Partij voor de Dieren;50PLUS;Staatkundig Gereformeerde Partij (SGP);DENK;Forum voor Democratie;VNL (VoorNederland);Piratenpartij;Artikel 1;NIEUWE WEGEN;OndernemersPartij;Lokaal in de Kamer;Niet Stemmers;De Burger Beweging;GeenPeil;JEZUS LEEFT;Vrijzinnige Partij;Libertarische Partij (LP);MenS en Spirit / Basisinkomen Partij / V-R;StemNL;Vrije Democratische Partij (VDP)	
Overbetuwe;G1734;11188;Arnhem;K7;36060;30290;86;30;30174;7459;3679;4543;4078;2222;2695;1492;906;749;862;609;117;467;84;58;4;40;34;18;14;12;6;8;5;2;9;2;	
Papendrecht;G0590;10427;Dordrecht;K14;24962;20712;64;21;20627;4653;3048;2713;1794;1296;1620;1009;1349;506;750;913;214;452;113;62;16;29;15;16;11;4;9;21;8;1;;5;	
Peel en Maas;G1894;10205;Maastricht;K19;34042;27275;53;53;27169;6045;4471;6327;2525;1291;2839;821;98;486;1203;41;143;490;122;59;6;98;48;;20;10;14;;7;5;;;	
Pekela;G0765;10848;Groningen;K1;9832;7450;18;28;7404;765;1791;744;372;417;1779;614;206;163;269;50;15;106;29;23;1;10;14;11;11;8;1;;2;3;;;	
Pijnacker-Nootdorp;G1926;10031;Leiden;K15;37839;32541;84;36;32421;9778;4387;4114;4424;2288;1550;1472;991;894;782;253;259;757;156;104;35;61;45;;14;10;16;13;9;4;;5;	
Purmerend;G0439;11066;Den Helder;K11;62330;49080;201;71;48808;10687;9191;3826;5407;4177;4400;3209;691;1765;2474;89;553;1112;252;252;354;92;94;45;57;30;27;;15;;;;9	
Putten;G0273;11109;Arnhem;K7;18603;16147;30;15;16102;3560;1836;3368;818;471;619;369;2182;246;348;1916;38;208;36;15;2;8;15;3;7;5;2;21;1;3;5;0;	
Raalte;G0177;10279;Zwolle;K4;29028;24640;47;30;24563;5988;1860;7112;2861;1444;1969;1117;423;322;797;61;104;281;64;38;4;37;22;21;10;13;12;;3;;;;	
Reimerswaal;G0703;10077;Middelburg;K16;15518;13264;21;16;13227;1860;1686;1555;499;312;815;426;695;208;297;4484;69;200;46;27;4;11;10;6;;4;6;;1;2;;4;	
Renkum;G0274;11325;Arnhem;K7;24869;21089;30;34;21025;5001;1879;2524;3518;2439;1471;1469;579;909;524;125;92;286;49;50;8;22;13;8;13;11;4;6;7;2;15;1;	
Renswoude;G0339;10269;Utrecht;K8;3678;3267;8;0;3259;670;363;709;124;62;103;53;290;45;71;670;3;67;16;3;0;0;2;;4;0;2;2;0;0;0;0;	
Reusel-De Mierden;G1667;10162;'s-Hertogenbosch;K18;10067;8087;17;13;8057;2062;1107;1606;751;359;1152;278;39;148;331;14;2;105;20;21;1;10;16;19;5;1;7;;0;2;;1;	
Rheden;G0275;11355;Arnhem;K7;34843;28594;34;51;28509;5829;3529;3091;4016;2868;3157;2176;744;1151;763;132;322;370;86;82;16;41;33;14;21;16;11;22;4;0;15;0;	
Rhenen;G0340;10309;Utrecht;K8;14890;12611;19;10;12582;2521;1663;1573;1096;760;613;577;733;254;307;2002;124;232;52;17;2;6;9;;11;5;5;10;2;4;4;0;	
Ridderkerk;G0597;10646;Dordrecht;K14;36204;29262;51;52;29159;5385;5273;3460;2183;1588;2233;1351;1688;764;1263;2493;419;662;132;76;31;50;26;9;17;7;14;21;8;2;;4;	
Rijnwaarden;G0196;10819;Arnhem;K7;8577;6848;17;13;6818;1447;1309;958;655;373;958;309;63;163;347;12;6;130;27;17;1;8;7;4;4;4;2;1;5;0;6;2;	
Rijssen-Holten;G1742;10358;Zwolle;K4;28119;25038;58;21;24959;3646;2316;5043;1268;688;1149;810;2824;233;444;5899;153;303;63;28;2;23;22;13;12;12;3;;5;;;;	
Rijswijk;G0603;11133;Dordrecht;K14;38497;30813;81;51;30681;6852;5507;3015;4014;2748;2009;1752;621;1171;1164;114;517;692;119;140;69;45;34;16;11;25;18;14;6;5;;3;	
Roerdalen;G1669;10196;Maastricht;K19;16486;12975;21;14;12940;2341;3044;2135;1148;682;1471;471;69;364;742;16;27;284;55;24;0;14;24;;13;7;4;;3;2;;;	
Roermond;G0957;11313;Maastricht;K19;43935;33083;98;67;32918;6169;6169;3907;3596;2595;3753;1325;227;1069;1333;27;1384;902;133;83;29;50;45;;33;34;30;;11;14;;;	
Roosendaal;G1674;10407;Tilburg;K17;58707;45949;183;87;45679;10749;8177;5745;4296;4098;4867;1753;365;1001;1629;71;1629;751;143;99;23;81;41;35;25;21;45;16;13;4;;2;	
Rotterdam;G0599;10345;Rotterdam;K13;453152;327657;2758;668;324231;53382;50759;18813;42687;37591;26830;20627;7622;12618;10835;2323;25710;5753;1208;1432;4297;396;295;200;254;151;196;;123;87;;42;	
Rozendaal;G0277;10684;Arnhem;K7;1160;1108;1;0;1107;456;61;115;197;85;17;65;24;40;21;5;0;16;1;1;0;0;0;0;0;1;0;0;1;1;0;0;	
Rucphen;G0840;11152;Tilburg;K17;18294;13894;20;8;13866;2718;5396;1575;721;456;1411;377;66;224;563;8;9;217;44;12;1;13;16;12;6;2;6;5;5;0;;3;	
Saba;O9003;10301;Bonaire;K20;889;385;2;0;383;13;11;40;115;62;100;25;4;2;2;0;0;4;2;;1;1;1;;;;;;;;;;	
Schagen;G0441;10511;Den Helder;K11;36106;30236;84;33;30119;9169;3265;3545;3658;2433;2381;1964;361;1014;1059;67;19;683;158;107;4;45;54;65;18;13;24;;9;;;;4	
Scherpenzeel;G0279;11146;Arnhem;K7;7156;6281;13;3;6265;1418;712;1059;336;158;216;167;561;62;109;1281;10;123;25;5;0;3;6;5;1;0;0;6;0;0;2;0;	
Schiedam;G0606;11260;Dordrecht;K14;55942;42384;177;124;42083;7120;8339;3274;4209;3444;4008;2397;706;1397;1783;211;3453;894;214;156;201;65;44;31;29;15;23;36;22;9;;3;	
Schiermonnikoog;G0088;10355;Leeuwarden;K2;774;1006;2;0;1004;207;52;138;126;149;79;102;50;58;12;8;0;9;6;1;;3;1;0;;2;0;;1;0;;;	
Schinnen;G0962;10132;Maastricht;K19;10449;8766;13;12;8741;1548;1441;1576;1000;591;1132;341;69;306;443;20;7;170;32;21;2;14;4;;6;8;8;;1;1;;;	
Schouwen-Duiveland;G1676;10843;Middelburg;K16;26974;22943;45;16;22882;5613;2872;3053;1770;1178;1828;1242;1065;723;706;2149;4;468;75;39;4;21;31;10;;7;10;;10;1;;3;	
's-Gravenhage;G0518;11434;'s-Gravenhage;K12;429824;324737;1542;562;322633;67595;45242;19853;51649;39242;17614;21784;6134;13785;7850;1638;19263;5781;1024;1315;1253;352;266;170;226;133;240;;105;70;;;49	
's-Hertogenbosch;G0796;10054;'s-Hertogenbosch;K18;117667;95453;267;153;95033;21683;13810;9241;13484;10218;10198;4724;850;3116;2760;140;2107;1532;282;334;78;109;106;72;65;29;43;;27;17;;8;	
Simpelveld;G0965;10515;Maastricht;K19;8320;6692;12;7;6673;1059;1510;1154;582;383;991;300;27;186;316;7;3;95;10;17;1;5;15;;2;4;3;;3;0;;;	
Sint Anthonis;G1702;11415;'s-Hertogenbosch;K18;9203;7938;8;9;7921;1838;688;2070;684;372;1598;211;37;118;150;21;2;72;9;10;0;9;15;7;5;4;1;;0;0;;0;	
Sint Eustatius;O9002;11253;Bonaire;K20;1873;436;4;0;432;6;8;338;27;15;8;5;4;3;2;0;0;2;0;;14;0;0;;;;;;;;;;	
Sint-Michielsgestel;G0845;10496;'s-Hertogenbosch;K18;22218;18378;32;23;18323;4787;2380;2821;2368;1309;2218;826;136;427;523;18;17;276;70;49;6;16;19;29;6;5;7;;1;0;;9;	
Sittard-Geleen;G1883;11230;Maastricht;K19;74963;58128;145;110;57873;8944;12115;8609;6130;4576;7525;2450;388;1993;2745;42;570;1141;188;156;21;68;84;;41;27;36;;15;9;;;	
Sliedrecht;G0610;11331;Dordrecht;K14;18892;15392;40;19;15333;2411;1998;1990;899;659;1220;715;1652;332;439;2398;216;228;54;39;6;19;15;9;5;6;6;14;1;2;;0;	
Slochteren;G0040;10747;Groningen;K1;11613;9591;25;16;9550;1590;1088;1250;921;782;1314;777;881;269;297;122;3;135;27;27;1;12;33;6;4;6;3;;0;2;;;	
Sluis;G1714;10895;Middelburg;K16;17596;13714;30;26;13658;3544;2305;1881;1032;742;1461;996;229;363;532;187;6;228;67;33;4;8;18;4;;8;1;;7;1;;1;	
Smallingerland;G0090;10405;Leeuwarden;K2;43147;35511;88;61;35362;5075;3982;6048;3200;2800;4445;3103;3235;901;971;500;71;559;104;110;;136;43;19;;25;16;;9;10;;;	
Soest;G0342;11021;Utrecht;K8;34925;29799;70;31;29698;8575;3449;3414;3805;2334;1472;1311;1073;992;810;481;1130;512;97;91;22;28;27;;15;16;5;13;14;1;9;2;	
Someren;G0847;10203;'s-Hertogenbosch;K18;14837;12224;23;20;12181;3358;1923;2349;1082;522;1379;383;62;202;556;18;16;173;68;22;2;14;22;8;4;4;9;;4;1;;0;	
Son en Breugel;G0848;10549;'s-Hertogenbosch;K18;12740;10732;14;16;10702;3157;1135;1707;1471;754;901;447;126;311;371;17;12;161;46;29;5;9;17;7;4;7;4;;3;0;;1;	
Stadskanaal;G0037;10610;Groningen;K1;25733;19597;50;31;19516;2310;3150;3318;1218;996;3250;1461;1865;345;742;279;7;345;53;54;3;17;28;32;18;13;6;;3;3;;;	
Staphorst;G0180;11362;Zwolle;K4;11881;10836;30;11;10795;1095;906;1893;309;212;280;222;1771;111;136;3659;0;136;20;12;1;8;4;5;5;4;4;;2;;;;	
Stede Broec;G0532;11337;Den Helder;K11;16328;13461;39;22;13400;3383;1998;1829;1433;882;1361;709;175;383;624;52;51;287;89;44;9;24;19;17;9;12;2;;4;;;;4	
Steenbergen;G0851;10731;Tilburg;K17;18314;14586;23;24;14539;3599;3322;1830;1164;686;1587;531;217;318;607;183;13;289;72;29;2;15;17;13;4;7;5;21;5;1;;2;	
Steenwijkerland;G1708;10546;Zwolle;K4;32925;28420;57;29;28334;5924;3455;5441;2504;1628;2620;2028;1958;653;914;349;132;417;81;61;12;34;40;23;22;19;17;;2;;;;	
Stein;G0971;11319;Maastricht;K19;20563;16678;32;36;16610;2749;3784;2348;1484;1010;2433;573;80;513;1000;24;36;342;67;45;6;28;45;;17;9;7;;4;6;;;	
Stichtse Vecht;G1904;10191;Utrecht;K8;49098;41575;104;49;41422;11581;5296;4789;5675;3263;2363;2116;1341;1254;1288;826;360;743;148;124;42;51;48;;28;19;5;27;11;11;12;1;	
Strijen;G0617;10558;Dordrecht;K14;7152;6013;12;11;5990;1449;962;874;492;296;425;315;306;185;188;227;1;178;32;17;3;11;4;4;2;4;2;12;0;0;;1;	
Súdwest-Fryslân;G1900;11421;Leeuwarden;K2;65027;54314;94;70;54150;10248;5769;12420;5164;4145;5288;3890;2094;1401;1454;289;100;993;190;159;;337;69;47;;34;30;;22;7;;;	
Ten Boer;G0009;10891;Groningen;K1;5566;4863;7;2;4854;532;395;852;416;527;643;409;595;145;129;96;1;59;11;22;1;1;5;10;3;2;0;;0;0;;;	
Terneuzen;G0715;10704;Middelburg;K16;40523;30880;78;47;30755;5634;5351;4244;2493;1754;3349;1723;1447;708;1356;1257;520;512;123;92;29;43;38;25;;20;14;;11;6;;6;	
Terschelling;G0093;11210;Leeuwarden;K2;4054;3724;5;9;3710;1008;345;423;450;335;247;435;78;144;98;9;1;77;12;22;;10;8;2;;1;3;;1;1;;;	
Texel;G0448;10237;Den Helder;K11;10762;10006;18;14;9974;2704;963;1310;1144;1003;806;776;210;373;271;72;1;179;61;32;6;15;15;12;5;11;1;;4;;;;0	
Teylingen;G1525;10017;Leiden;K15;27121;23661;44;21;23596;7594;2414;3218;3481;1789;1219;987;512;646;749;93;97;525;73;73;6;35;24;;14;17;14;5;6;2;;3;	
Tholen;G0716;10376;Middelburg;K16;19150;16046;24;20;16002;2455;2475;1902;712;491;1282;620;1019;277;419;3897;53;258;59;20;2;13;11;13;;4;7;;9;3;;1;	
Tiel;G0281;10027;Nijmegen;K6;31128;24430;81;22;24327;5488;4179;2319;2479;1982;2091;1468;509;681;903;201;1084;550;104;73;14;73;25;24;12;20;18;20;10;0;;0;	
Tilburg;G0855;10792;Tilburg;K17;161341;121248;365;218;120665;24204;16470;11174;17903;14456;13758;5726;1001;4236;3923;175;3971;1923;396;442;205;120;123;159;67;50;51;60;37;24;;11;	
Tubbergen;G0183;10694;Zwolle;K4;16261;13818;25;9;13784;3222;1599;5749;973;374;748;314;75;119;285;38;1;185;48;16;1;7;11;6;3;2;3;;5;;;;	
Twenterand;G1700;10643;Zwolle;K4;25617;21120;40;28;21052;2966;3287;6200;1065;589;2018;712;2003;214;573;977;5;242;62;57;1;10;26;18;7;6;10;;4;;;;	
Tynaarlo;G1730;10002;Assen;K3;25870;22411;33;22;22356;5283;1761;2509;3401;2485;1861;2181;986;702;573;70;9;284;57;62;;22;31;52;;8;8;;6;5;;;	
Tytsjerksteradiel;G0737;11241;Leeuwarden;K2;24702;20853;37;25;20791;3099;2216;5099;1808;1526;2130;1611;1350;511;557;234;5;347;95;47;;65;40;14;;18;2;;9;8;;;	
Uden;G0856;11141;'s-Hertogenbosch;K18;31955;26020;76;44;25900;6544;3304;4026;3020;1644;3756;1029;145;593;746;22;358;415;78;71;8;21;39;23;15;27;5;;3;4;;4;	
Uitgeest;G0450;11238;Den Helder;K11;10287;8979;19;10;8950;2715;862;980;1267;815;688;568;101;296;270;16;14;210;59;35;5;11;17;4;8;3;4;;0;;;;2	
Uithoorn;G0451;11206;Haarlem;K10;21582;18195;49;14;18132;5717;2286;1822;2300;1368;1084;973;290;592;729;59;203;394;85;94;32;19;30;10;14;17;9;;5;;;;	
Urk;G0184;10783;Lelystad;K5;13210;11857;36;11;11810;210;1304;1680;58;29;78;19;1376;22;55;6635;9;199;21;22;0;3;4;1;4;1;2;77;0;1;;;	
Utrecht;G0344;10722;Utrecht;K8;249226;208799;763;256;207780;35248;15157;11377;46444;42093;9995;12030;5486;9482;2952;671;11441;2430;380;1077;644;196;144;;95;58;132;74;61;43;59;11;	
Utrechtse Heuvelrug;G1581;10777;Utrecht;K8;37968;32819;70;30;32719;8758;2976;4025;4669;3136;1668;1705;1337;1183;792;1297;305;555;72;72;12;44;26;;18;13;11;21;8;2;13;1;	
Vaals;G0981;10007;Maastricht;K19;6062;4728;34;9;4685;783;989;711;376;315;662;257;30;174;242;4;4;100;9;12;1;4;2;;2;3;0;;1;4;;;	
Valkenburg aan de Geul;G0994;11077;Maastricht;K19;13716;11147;20;26;11101;2294;2012;1843;1243;762;1156;448;86;356;533;12;14;253;29;22;3;10;8;;5;4;6;;2;0;;;	
Valkenswaard;G0858;11031;'s-Hertogenbosch;K18;24462;20006;50;52;19904;4865;3188;2927;2051;1227;2545;883;187;464;910;23;19;347;73;51;5;38;24;26;14;21;7;;1;6;;2;	
Veendam;G0047;11292;Groningen;K1;21838;17131;50;23;17058;2380;2831;1702;1561;1183;3252;1591;509;432;665;68;314;335;48;49;6;8;22;51;17;10;6;;12;6;;;	
Veenendaal;G0345;11052;Utrecht;K8;47967;40669;111;58;40500;7465;4689;5822;2986;2079;2414;1273;5518;592;979;4202;1385;642;134;107;19;45;24;;14;23;21;34;8;6;14;5;	
Veere;G0717;10369;Middelburg;K16;17165;15156;24;13;15119;3423;1173;2561;1198;811;917;791;873;425;360;2179;4;264;54;33;2;13;22;5;;5;0;;3;3;;0;	
Veldhoven;G0861;10071;'s-Hertogenbosch;K18;34592;28272;53;46;28173;7045;4032;3868;3406;1913;3697;1174;342;692;1064;49;50;437;117;102;6;34;46;35;20;6;15;;7;8;;8;	
Velsen;G0453;10620;Haarlem;K10;51966;42735;112;66;42557;10211;6947;3737;5436;3389;3447;2595;993;1537;1793;122;594;1076;237;160;23;63;61;43;37;16;26;;14;;;;	
Venlo;G0983;10477;Maastricht;K19;75914;58119;211;156;57752;11199;11672;7367;5777;4138;7004;2285;330;1456;2687;68;1936;1240;162;149;22;76;60;;39;24;34;;22;5;;;	
Venray;G0984;11222;Maastricht;K19;33041;26501;66;55;26380;5798;3358;4741;2944;1583;4265;1035;175;431;833;45;506;386;93;52;12;21;43;;27;11;12;;9;0;;;	
Vianen;G0620;10887;Utrecht;K8;15208;12535;24;23;12488;2871;1954;1666;1360;870;908;737;390;353;434;356;206;214;52;38;14;16;21;;5;3;7;7;2;1;2;1;	
Vlaardingen;G0622;10811;Dordrecht;K14;54290;43200;146;71;42983;8036;7869;4181;4125;3113;4057;2488;1193;1378;1731;659;2433;971;228;134;122;82;40;27;40;20;17;29;5;5;;0;	
Vlagtwedde;G0048;11249;Groningen;K1;12733;10123;22;18;10083;1492;1887;1591;662;563;1650;753;322;309;452;83;2;164;37;21;1;35;21;16;7;4;4;;2;5;;;	
Vlieland;G0096;10211;Leeuwarden;K2;864;873;5;0;868;254;72;68;139;94;61;63;21;35;30;9;0;8;8;4;;2;0;0;;0;0;;0;0;;;	
Vlissingen;G0718;10270;Middelburg;K16;34001;26100;77;56;25967;4741;4049;2696;2526;2133;3159;1700;831;1003;1207;507;396;581;116;126;32;45;42;24;;14;15;;9;6;;9;	
Voerendaal;G0986;11341;Maastricht;K19;10122;8539;12;18;8509;1635;1428;1473;1007;533;1115;388;60;245;395;5;15;133;15;11;3;22;10;;4;6;4;;2;0;;;	
Voorschoten;G0626;10537;Leiden;K15;18710;16549;48;24;16477;4911;1604;1889;2730;1518;845;999;382;574;339;52;105;323;59;52;6;19;32;;6;12;11;4;2;2;;1;	
Voorst;G0285;10912;Arnhem;K7;19151;16060;40;17;16003;4340;1444;2960;1994;953;1394;1003;313;319;544;301;58;210;53;25;0;10;26;14;12;12;1;6;3;1;4;3;	
Vught;G0865;11224;'s-Hertogenbosch;K18;20247;16901;23;21;16857;4933;1577;1862;2751;1563;1749;913;152;487;427;27;24;228;45;46;7;16;12;12;8;8;5;;1;2;;2;	
Waalre;G0866;10959;'s-Hertogenbosch;K18;12898;11181;33;13;11135;3263;1165;1503;1655;822;991;490;148;367;374;22;9;200;49;20;2;17;10;7;5;8;2;;5;1;;0;	
Waalwijk;G0867;11359;Tilburg;K17;36412;28789;113;49;28627;7118;4562;3750;2689;1690;3180;1042;738;662;1165;574;612;488;122;71;2;32;32;34;11;15;6;19;8;0;;5;	
Waddinxveen;G0627;10081;Leiden;K15;20270;17271;25;32;17214;3739;2128;2319;1613;979;951;755;1588;353;557;1427;300;304;54;45;4;31;19;;11;2;10;19;3;1;;2;	
Wageningen;G0289;11010;Arnhem;K7;27949;23736;73;37;23626;3232;1418;1853;5485;4760;1678;1775;1124;1040;378;233;92;270;37;118;23;20;11;8;14;15;11;8;10;4;8;1;	
Wassenaar;G0629;10164;Leiden;K15;17699;15233;45;14;15174;6331;1749;1843;1694;742;508;500;215;474;359;70;36;493;43;26;9;36;13;;6;9;5;2;3;8;;0;	
Waterland;G0852;10983;Den Helder;K11;13520;11993;25;17;11951;3060;1391;1689;1484;1136;746;904;212;448;361;41;16;306;63;28;17;13;15;4;6;4;1;;6;;;;0	
Weert;G0988;11081;Maastricht;K19;38674;30856;94;56;30706;6651;5395;4493;3389;1765;3651;1135;208;691;1452;34;735;708;131;79;9;63;39;;31;13;14;;17;3;;;	
Weesp;G0457;10773;Haarlem;K10;14187;11816;60;17;11739;2714;1211;1119;1836;1407;827;802;175;449;459;48;316;176;57;49;20;25;14;5;9;8;11;;2;;;;	
Werkendam;G0870;10078;Tilburg;K17;20594;17054;24;28;17002;3356;2629;3116;987;615;1216;576;1242;280;441;2093;11;258;70;20;3;18;21;9;6;5;5;20;1;2;;2;	
West Maas en Waal;G0668;10042;Nijmegen;K6;14922;12643;31;8;12604;3545;1931;1893;1158;671;1718;495;69;272;466;18;5;196;57;28;3;27;19;9;4;4;4;6;4;1;;1;	
Westerveld;G1701;10186;Assen;K3;15504;13119;17;18;13084;3316;1267;1775;1348;1093;1217;1252;377;518;483;80;2;206;56;23;;20;20;5;;11;6;;5;4;;;	
Westervoort;G0293;11085;Arnhem;K7;11848;9707;13;24;9670;1859;1484;1202;1186;803;1275;606;204;298;378;20;70;161;27;24;5;15;11;6;6;3;6;5;3;5;7;1;	
Westland;G1783;11418;Dordrecht;K14;78890;67035;140;86;66809;21812;11069;12452;5116;2624;2480;1866;1921;1349;1723;1049;517;2053;287;130;5;92;83;36;23;32;22;45;13;4;;6;	
Weststellingwerf;G0098;11322;Leeuwarden;K2;20349;16609;26;33;16550;3294;2384;2668;1453;1247;2022;1301;425;459;604;83;43;266;55;50;;27;25;16;;116;6;;3;3;;;	
Westvoorne;G0614;10009;Dordrecht;K14;11563;9792;16;17;9759;3392;1591;1099;945;389;519;497;149;338;353;49;7;280;66;20;5;19;10;6;6;7;4;3;3;1;;1;	
Wierden;G0189;10676;Zwolle;K4;18671;16449;39;15;16395;3750;1808;4853;1222;600;945;508;1264;158;306;630;18;216;41;18;0;12;15;15;5;4;7;;0;;;;	
Wijchen;G0296;10723;Nijmegen;K6;31758;26650;48;34;26568;6737;3770;3592;3340;1892;3315;1337;236;638;891;35;115;360;85;62;11;34;51;22;22;7;9;3;1;2;;1;	
Wijdemeren;G1696;10534;Haarlem;K10;18439;15866;37;21;15808;5371;1660;2043;2005;1051;812;769;375;526;474;133;25;357;77;53;7;12;22;11;10;4;10;;1;;;;	
Wijk bij Duurstede;G0352;10760;Utrecht;K8;18298;15592;26;15;15551;4051;2055;1983;1838;1336;1257;813;478;420;391;390;68;299;48;45;5;21;16;;5;7;6;5;4;1;9;0;	
Winsum;G0053;11135;Groningen;K1;10442;9069;8;10;9051;1080;585;1579;875;1128;1064;984;861;348;208;107;0;110;26;37;4;13;7;17;7;9;0;;2;0;;;	
Winterswijk;G0294;11119;Arnhem;K7;22428;18364;31;21;18312;4174;1707;2835;2279;1572;2160;1482;363;369;618;64;155;276;94;39;5;16;38;10;9;10;3;10;9;3;11;1;	
Woensdrecht;G0873;10602;Tilburg;K17;16157;12837;33;11;12793;3222;2725;1790;1053;599;1481;480;106;309;544;20;29;241;60;19;3;16;11;53;6;7;10;5;0;2;;2;	
Woerden;G0632;10974;Utrecht;K8;38768;33450;59;30;33361;8462;3312;5176;4204;2597;1694;1720;1946;821;767;1238;444;567;127;81;22;50;46;;14;15;13;24;1;4;14;2;	
Wormerland;G0880;10648;Den Helder;K11;12539;10620;18;13;10589;2694;1255;1034;1172;1101;1046;763;205;386;423;43;58;236;48;46;17;21;16;5;11;2;2;;4;;;;1	
Woudenberg;G0351;11398;Utrecht;K8;9430;8209;17;18;8174;1736;765;1283;569;324;343;296;736;136;171;1612;16;105;23;22;2;5;4;;3;2;3;13;2;2;1;0;	
Woudrichem;G0874;10282;Tilburg;K17;11308;9692;15;10;9667;1917;1221;2002;582;394;709;357;1331;184;227;463;1;161;48;19;2;4;12;8;3;1;1;18;1;1;;0;	
Zaanstad;G0479;11044;Den Helder;K11;113741;90830;355;138;90337;17410;13188;6510;10379;9214;9308;6388;1676;3706;3710;363;4538;1824;433;375;631;134;161;98;92;57;65;;36;;;;41	
Zaltbommel;G0297;10557;Nijmegen;K6;20316;17299;47;17;17235;3489;1957;2213;1525;974;1189;776;1226;358;399;2520;160;287;49;37;6;23;12;8;6;6;1;7;4;0;;3;	
Zandvoort;G0473;10910;Haarlem;K10;13363;10951;37;20;10894;3475;1769;815;1179;713;651;604;72;517;454;14;38;378;84;40;7;18;28;9;10;6;7;;6;;;;	
Zederik;G0707;10618;Dordrecht;K14;10578;9337;22;6;9309;1729;957;1937;506;320;446;413;1096;139;173;1400;2;88;35;15;1;11;10;1;6;2;8;11;0;0;;3;	
Zeewolde;G0050;10012;Lelystad;K5;15579;13404;26;17;13361;3713;1743;1922;1300;760;787;431;1158;364;365;226;49;326;72;48;7;15;27;8;6;6;3;19;5;1;;;	
Zeist;G0355;10324;Utrecht;K8;46895;39065;117;55;38893;9818;3753;3753;5963;4496;2154;2211;1472;1593;860;726;1001;606;111;128;56;44;30;;17;21;19;12;15;4;29;1;	
Zevenaar;G0299;10938;Arnhem;K7;25870;21258;54;30;21174;4947;2778;3262;2487;1511;2527;1286;209;563;836;26;186;310;64;44;8;34;22;20;18;5;6;4;6;5;10;0;	
Zoetermeer;G0637;10766;Leiden;K15;95406;76262;267;118;75877;17595;12271;7424;9200;6209;5858;4424;2088;2601;3045;813;928;1896;328;369;251;204;99;;49;47;69;47;30;19;;13;	
Zoeterwoude;G0638;11074;Leiden;K15;6592;5604;15;8;5581;1450;613;946;766;467;329;278;97;191;189;44;22;129;17;11;2;9;9;;3;1;3;1;3;0;;1;	
Zuidhorn;G0056;10021;Groningen;K1;14175;12503;16;22;12465;1726;823;2322;1316;1236;1203;902;1887;304;220;266;5;130;32;28;9;13;12;7;8;5;4;;6;1;;;	
Zuidplas;G1892;10855;Leiden;K15;31556;26815;66;26;26723;6951;3451;3234;2558;1503;1650;1156;1691;682;680;1934;247;596;127;75;15;47;32;;14;13;16;41;4;3;;3;	
Zundert;G0879;11192;Tilburg;K17;16683;13170;29;29;13112;3746;2210;2364;1090;643;1337;412;70;279;468;26;40;226;48;19;3;55;19;36;5;8;2;1;3;0;;2;	
Zutphen;G0301;10254;Arnhem;K7;36476;30130;59;39;30032;4971;2944;2799;4137;4005;3760;2517;910;1689;859;109;553;371;74;95;22;38;40;10;14;24;20;22;13;5;22;9;	
Zwartewaterland;G1896;10746;Zwolle;K4;16219;14137;28;12;14097;1791;1363;2742;589;375;779;511;2334;145;258;2952;3;169;31;20;0;7;6;6;8;1;6;;1;;;;	
Zwijndrecht;G0642;10468;Dordrecht;K14;34423;27439;75;47;27317;5416;4630;3418;2244;1601;2375;1301;1583;731;1088;1221;753;552;130;71;26;52;20;17;8;8;11;47;7;6;;1;	
Zwolle;G0193;10093;Zwolle;K4;95706;80634;214;130;80290;14074;6379;9060;11912;9374;6967;5700;8334;2727;1897;798;966;1121;198;330;69;85;78;43;62;44;37;;35;;;;	
